laptop_names,laptop_ids,laptop_moneys,laptop_chips,laptop_memories,laptop_storages,laptop_video_cards
"Laptop Asus Vivobook A515EA-BQ3013W/i3-1115G4/8GB/256GB/15.6""FHD/Win 11",(No.00803001),10.490.000,Intel Core i3 1115G4,8  DDR4 3200 MHz,SSD 256,Intel UHD Graphics
"Laptop MSI Gaming Creator Z16 HX Studio B13VFTO-063VN i7 13700HX/32GB/2TB/16""FHD/RTX4060 8GB/Win11",(No.00888838),63.990.000,Intel Core i7 13700HX,32  (2 thanh 16 ) DDR5 5600 MHz,SSD 2 TB,NVIDIA GeForce RTX 4060 8GB
Laptop Asus Zenbook Pro Duo UX8402VU-P1028W i9 13900H/32GB/1TB/14.5”/Nvidia RTX 4050 6GB/Win11,(No.00883762),62.990.000,Intel Core i9 13900H,32  LPDDR5 4800 MHz,SSD 1 TB,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel Iris Xe Graphics
Laptop Asus Gaming ROG Strix G614JI-N4084W i7 13650HX/16GB/1TB/16.0”/Nvidia RTX 4070 8GB/Win11,(No.00883764),54.490.000,Intel Core i7 13650HX,16  (1 thanh 16 ) DDR5 4800 MHz,SSD 1 TB,NVIDIA Geforce RTX 4070 8GB GDDR6; Intel UHD Graphics
"Laptop MSI Gaming Creator Z16 A12UET-025VN i7 12700H/16GB/1TB/16""QHD+/Nvidia RTX 3060 6GB/Win 11/Túi",(No.00882686),47.590.000,Intel Core i7 12700H,16  (2 thanh 8 ) DDR5 4800 MHz,SSD 1 TB,NVIDIA GeForce RTX 3060 6GB; Intel Iris Xe Graphics
"Laptop Lenovo Gaming Legion Slim 5 16IRH8 i7 13700H/16G/512G/16""WQXGA/RTX4060_8GB/Win11",(No.00883990),42.990.000,Intel Core i7 13700H,16  (2 thanh 8 ) DDR5 5200 MHz,SSD 512,NVIDIA GeForce RTX 4060 8GB
"Laptop Lenovo Gaming LOQ 15IRH8 i5-13420H/8GB/512GB/15.6""FHD/RTX4050 6GB/Win11",(No.00886493),29.990.000,Intel Core i5 13400,8  (1 thanh 8 ) DDR5 5200 MHz,SSD 512,NVIDIA GeForce RTX 4050 6GB GDDR6
"Laptop Lenovo ThinkBook 14p G3 ARH R5-6600H/16GB/512GB/14.0""2.2K/Win 11",(No.00850262),26.890.000,AMD Ryzen 5 6600H,16  DDR5 6400 MHz,SSD 512,AMD Radeon Graphics
"Laptop Gigabyte Gaming G5 MF-F2VN333SH i5 12450H/8GB/512GB/15.6"" FHD/RTX4050_6GB/Win11",(No.00904604),21.990.000,Intel Core i5 12450H,8  DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel Iris Xe Graphics
"Laptop Asus Vivobook A515EA-L12033W i5 1135G7/8GB/512GB/15.6""FHD/Win 11",(No.00809819),19.990.000,Intel Core i5 1135G7,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel UHD Graphics
"Laptop Lenovo Ideapad Gaming 3 15ARH7 R5 6600H/16GB/512GB/15.6""FHD/Nvidia RTX 3050 4GB/Win11",(No.00898315),18.990.000,AMD Ryzen 5 6600H,16  (2 thanh 8 ) DDR5 4800 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics
